Cost Code Tier 1,Cost Code Tier 2,Cost Type,Budget Code,Budget Code Description,Original Budget Amount,Budget Modifications,Approved COs,Revised Budget,Pending COs,Projected Budget,Committed Costs,Pending Cost Changes,Commitments Invoiced,Direct Costs,ERP Job to Date Cost,Projected Costs,Forecast To Complete,Estimated Cost at Completion,Projected over Under
11 - Division 11 - Equipment,11-112423.000 - Window Washing System,Subcontract - Subcontract,11-112423.000.Subcontract,Window Washing System.Subcontract,38118.0,-38118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11 - Division 11 - Equipment,11-113100.000 - Appliances,Material - Material,11-113100.000.Material,Appliances.Material,521234.0,0.0,5923.13,527157.13,0.0,527157.13,396937.67,0.0,282089.55,0.0,282089.55,396937.67,5000.0,401937.67,125219.46
12 - Division 12 - Furnishings,12-122000.000 - Window Treatments,Subcontract - Subcontract,12-122000.000.Subcontract,Window Treatments.Subcontract,111250.0,0.0,22000.0,133250.0,0.0,133250.0,133250.0,0.0,0.0,0.0,0.0,133250.0,0.0,133250.0,0.0
12 - Division 12 - Furnishings,12-123530.000 - Residential Casework,Material - Material,12-123530.000.Material,Residential Casework.Material,519548.0,0.0,1027.19,520575.19,0.0,520575.19,502162.5,0.0,500000.0,0.0,500000.0,502162.5,5000.0,507162.5,13412.69
12 - Division 12 - Furnishings,12-123530.000 - Residential Casework,Subcontract - Subcontract,12-123530.000.Subcontract,Residential Casework.Subcontract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12 - Division 12 - Furnishings,12-123640.000 - Residential Countertops,Subcontract - Subcontract,12-123640.000.Subcontract,Residential Countertops.Subcontract,214825.0,0.0,10183.03,225008.03,0.0,225008.03,216352.73,0.0,149639.72,0.0,149639.72,216352.73,3000.0,219352.73,5655.3
12 - Division 12 - Furnishings,12-123663.000 - Window Sills,Subcontract - Subcontract,12-123663.000.Subcontract,Window Sills.Subcontract,36400.0,0.0,0.0,36400.0,0.0,36400.0,34294.1,0.0,26240.79,0.0,26240.79,34294.1,0.0,34294.1,2105.9
12 - Division 12 - Furnishings,12-129313.000 - Bike Equipment and Racks,Material - Material,12-129313.000.Material,Bike Equipment and Racks.Material,3409.0,0.0,2945.0,6354.0,0.0,6354.0,5207.0,0.0,0.0,0.0,0.0,5207.0,1147.0,6354.0,0.0
14 - Division 14 - Conveying Equipm,14-142000.000 - Elevators,Subcontract - Subcontract,14-142000.000.Subcontract,Elevators.Subcontract,347200.0,0.0,-4200.0,343000.0,0.0,343000.0,313000.0,0.0,227200.0,0.0,227200.0,313000.0,0.0,313000.0,30000.0
14 - Division 14 - Conveying Equipm,14-149182.000 - Trash Chutes,Subcontract - Subcontract,14-149182.000.Subcontract,Trash Chutes.Subcontract,15000.0,0.0,0.0,15000.0,0.0,15000.0,13000.0,0.0,13000.0,0.0,13000.0,13000.0,0.0,13000.0,2000.0
21 - Division 21 - Fire Suppression,21-210000.000 - Fire Suppression,Subcontract - Subcontract,21-210000.000.Subcontract,Fire Suppression.Subcontract,376215.0,0.0,-42500.0,333715.0,0.0,333715.0,333715.0,0.0,331916.0,0.0,331916.0,333715.0,0.0,333715.0,0.0
22 - Division 22 - Plumbing,22-220000.000 - Plumbing,Subcontract - Subcontract,22-220000.000.Subcontract,Plumbing.Subcontract,973750.0,0.0,12429.0,986179.0,0.0,986179.0,980174.0,0.0,948674.0,0.0,948674.0,980174.0,5000.0,985174.0,1005.0
"23 - Division 23 - Heating, Ventila",23-230000.000 - HVAC,Subcontract - Subcontract,23-230000.000.Subcontract,HVAC.Subcontract,1000000.0,0.0,6445.0,1006445.0,0.0,1006445.0,1006445.0,0.0,976626.0,0.0,976626.0,1006445.0,0.0,1006445.0,0.0
26 - Division 26 - Electrical,26-260000.000 - Electrical,Subcontract - Subcontract,26-260000.000.Subcontract,Electrical.Subcontract,1286375.0,0.0,-120515.0,1165860.0,0.0,1165860.0,1165775.0,85.0,1122900.0,0.0,1122900.0,1165860.0,0.0,1165860.0,0.0
28 - Division 28 - Electronic Safet,28-284600.000 - Fire Detection and Alarm,Subcontract - Subcontract,28-284600.000.Subcontract,Fire Detection and Alarm.Subcontract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31 - Division 31 - Earthwork,31-310000.000 - Earthwork,Subcontract - Subcontract,31-310000.000.Subcontract,Earthwork.Subcontract,389055.0,0.0,0.0,389055.0,0.0,389055.0,389344.0,0.0,352569.0,1800.0,354369.0,391144.0,0.0,391144.0,-2089.0
31 - Division 31 - Earthwork,31-312113.000 - Radon Mitigation,Subcontract - Subcontract,31-312113.000.Subcontract,Radon Mitigation.Subcontract,7500.0,0.0,0.0,7500.0,0.0,7500.0,1850.0,0.0,1850.0,0.0,1850.0,1850.0,0.0,1850.0,5650.0
32 - Division 32 - Exterior Improve,32-321216.000 - Asphalt Paving,Subcontract - Subcontract,32-321216.000.Subcontract,Asphalt Paving.Subcontract,89076.0,0.0,0.0,89076.0,0.0,89076.0,86216.0,0.0,0.0,0.0,0.0,86216.0,2860.0,89076.0,0.0
32 - Division 32 - Exterior Improve,32-321613.000 - Site Concrete,Subcontract - Subcontract,32-321613.000.Subcontract,Site Concrete.Subcontract,104242.0,0.0,0.0,104242.0,0.0,104242.0,88331.0,0.0,0.0,0.0,0.0,88331.0,5000.0,93331.0,10911.0
32 - Division 32 - Exterior Improve,32-323100.000 - Fences and Gates,Subcontract - Subcontract,32-323100.000.Subcontract,Fences and Gates.Subcontract,1875.0,0.0,32988.39,34863.39,0.0,34863.39,33993.39,0.0,0.0,0.0,0.0,33993.39,870.0,34863.39,0.0
32 - Division 32 - Exterior Improve,32-329000.000 - Landscaping and Irrigation,Material - Material,32-329000.000.Material,Landscaping and Irrigation.Material,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32 - Division 32 - Exterior Improve,32-329000.000 - Landscaping and Irrigation,Subcontract - Subcontract,32-329000.000.Subcontract,Landscaping and Irrigation.Subcontract,190425.0,0.0,4387.0,194812.0,0.0,194812.0,194815.0,0.0,4387.0,993.93,5380.93,195808.93,0.0,195808.93,-996.93
33 - Division 33 - Utilities,33-330000.000 - Utilities,Subcontract - Subcontract,33-330000.000.Subcontract,Utilities.Subcontract,321773.0,0.0,13311.0,335084.0,0.0,335084.0,335084.0,0.0,335084.0,0.0,335084.0,335084.0,0.0,335084.0,0.0
50 - Division 50 - Winter Conditions,50-502000.000 - Winter Conditions,Material - Material,50-502000.000.Material,Winter Conditions.Material,0.0,0.0,121298.3,121298.3,0.0,121298.3,1762.5,0.0,0.0,119535.8,119535.8,121298.3,0.0,121298.3,0.0
"60 - Division 60 - Contingency, Fee, Insurance",60-601000.000 - Construction Contingency,Material - Material,60-601000.000.Material,Construction Contingency.Material,357137.0,-232137.0,-34705.46,90294.54,0.0,90294.54,0.0,0.0,0.0,0.0,0.0,0.0,90294.54,90294.54,0.0
"60 - Division 60 - Contingency, Fee, Insurance",60-601005.000 - Design Contingency,Material - Material,60-601005.000.Material,Owner Contingency,0.0,232137.0,-234191.38,-2054.38,0.0,-2054.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2054.38
"60 - Division 60 - Contingency, Fee, Insurance",60-602020.000 - General Liability Insurance,Material - Material,60-602020.000.Material,General Liability Insurance.Material,178569.0,0.0,3094.28,181663.28,0.0,181663.28,0.0,0.0,0.0,154877.93,154877.93,154877.93,26785.35,181663.28,0.0
"60 - Division 60 - Contingency, Fee, Insurance",60-604000.000 - Fee,Material - Material,60-604000.000.Material,Fee.Material,0.0,0.0,10830.0,10830.0,0.0,10830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10830.0
