Event #,Event Title,Cost Code,Cost Type,Budget Code,Description,Vendor,Contract,UOM,Revenue Unit Qty,Revenue Unit Cost,Revenue ROM,Prime PCO,Latest Price,Cost Unit Qty,Cost Unit Cost,Cost ROM,RFQ,Commitment,Latest Cost,Over / Under,Budget Modification
127,Gypcrete Remobilize ,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
127,Gypcrete Remobilize ,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
127,Gypcrete Remobilize ,,,,,,,,,,$0.00,,$0.00,,,$0.00,,,$0.00,$0.00,
126,WDP-1 Supply,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
126,WDP-1 Supply,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
126,WDP-1 Supply,6-64100.000 - Architectural Casework & Millwork,Material - Material,,Procure and finish WPD-1 for Common Area Kitchen Island,Alpine Cabinetry,PO-25-117-123,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$4,500.00","$4,500.00",,"$4,500.00","$4,500.00","-$4,500.00",
125,Install Pergolas,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
125,Install Pergolas,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
125,Install Pergolas,6-68700.000 - Pergolas,Subcontract - Subcontract,,Install two pergolas at patio,"D G Welding & Mfg., Inc.",SC-25-117-051,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$9,600.00","$9,600.00",,"$9,600.00","$9,600.00","-$9,600.00",
124,Additional Framing Work,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
124,Additional Framing Work,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
124,Additional Framing Work,6-61010.000 - Rough Carpentry Installation,Subcontract - Subcontract,,Additional framing work required on site,Wolf Construction,SC-25-117-061,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$12,038.00","$12,038.00",,"$12,038.00","$12,038.00","-$12,038.00",
123,Corner Guards,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
123,Corner Guards,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
123,Corner Guards,10-102600.000 - Wall and Door Protection,Material - Material,,Corner Guards,"CBG Midwest, LLC dba BMSI",PO-25-117-104,,0.0,$0.00,$0.00,,$0.00,1.0,$503.10,$503.10,,$503.10,$503.10,-$503.10,
122,Patio Grill,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$29.42,$0.00,$29.42,,,,,,0.0,$29.42,
122,Patio Grill,60-604000.000 - Fee,Material - Material,,,,,,,,$102.98,$0.00,$102.98,,,,,,0.0,$102.98,
122,Patio Grill,11-113100.000 - Appliances,Material - Material,,Grill head and doors,All Inc.,SC-25-117-113,ls,1.0,"$2,942.22","$2,942.22",,"$2,942.22",1.0,"$2,942.22","$2,942.22",,"$2,942.22","$2,942.22",$0.00,
121,Remove L3 ADA Unit Floor Drain,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
121,Remove L3 ADA Unit Floor Drain,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
121,Remove L3 ADA Unit Floor Drain,,,,,,,,,,$0.00,,$0.00,,,$0.00,,,$0.00,$0.00,
120,Added Soffit for HVAC at Common Area Restrooms,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
120,Added Soffit for HVAC at Common Area Restrooms,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
120,Added Soffit for HVAC at Common Area Restrooms,,,,,,,,,,$0.00,,$0.00,,,$0.00,,,$0.00,$0.00,
119,Bidet outlet at unit 1102,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
119,Bidet outlet at unit 1102,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
119,Bidet outlet at unit 1102,,,,,,,,,,$0.00,,$0.00,,,$0.00,,,$0.00,$0.00,
118,Wall Covering (WCP-1) at existing reception.,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
118,Wall Covering (WCP-1) at existing reception.,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
118,Wall Covering (WCP-1) at existing reception.,,,,,,,,,,$0.00,,$0.00,,,$0.00,,,$0.00,$0.00,
117,Pergola Install,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
117,Pergola Install,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
117,Pergola Install,6-68700.000 - Pergolas,Subcontract - Subcontract,,Install two fiberglass pergolas at the patio plan south of community room 115.,"D G Welding & Mfg., Inc.",SC-25-117-051,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$9,600.00","$9,600.00",,,"$9,600.00","-$9,600.00",
116,Elevator Divider Beams,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
116,Elevator Divider Beams,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
116,Elevator Divider Beams,5-51200.000 - Structural Steel,Subcontract - Subcontract,,Reinstall elevator divider beams due to head room issue,"D G Welding & Mfg., Inc.",SC-25-117-051,ls,0.0,$0.00,$0.00,,$0.00,1.0,$900.00,$900.00,,$900.00,$900.00,-$900.00,
115,Trellis Materials,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
115,Trellis Materials,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
115,Trellis Materials,6-61000.000 - Rough Carpentry Material,Material - Material,,Additional materials for attached trellis.,McCarron's Building Center,PO-25-117-062,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$1,032.67","$1,032.67",,"$1,032.67","$1,032.67","-$1,032.67",
114,Window Treatment Opacity ,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,-$12.50,$0.00,$0.00,,,,,,0.0,$0.00,
114,Window Treatment Opacity ,60-604000.000 - Fee,Material - Material,,,,,,,,-$43.75,$0.00,$0.00,,,,,,0.0,$0.00,
114,Window Treatment Opacity ,12-122000.000 - Window Treatments,Subcontract - Subcontract,,Credit for change from 1% light filtering at all locations to 1% at unit bedrooms and 3% at unit living areas.,CE Contract,SC-25-117-122,ls,-1.0,"$1,250.00","-$1,250.00","-$1,250.00","-$1,250.00",-1.0,"$1,250.00","-$1,250.00",,"-$1,250.00","-$1,250.00",$0.00,
113,Additional Shower Rods for Units,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
113,Additional Shower Rods for Units,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
113,Additional Shower Rods for Units,10-102800.000 - Toilet and Bath Accessories,Material - Material,,Supply additional shower rods,"CBG Midwest, LLC dba BMSI",PO-25-117-104,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$5,062.85","$5,062.85",,"$5,062.85","$5,062.85","-$5,062.85",
112,Auto-Operator at Opening 004 Pet Spa,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
112,Auto-Operator at Opening 004 Pet Spa,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
112,Auto-Operator at Opening 004 Pet Spa,8-84000.000 - Aluminum Entrances and Storefronts,Subcontract - Subcontract,,Add Auto-operator at opening 004 Pet Spa,Artic Glass Company,SC-25-117-0840,ls,1.0,"$6,600.00","$6,600.00","$6,600.00","$6,600.00",1.0,"$6,600.00","$6,600.00",,"$6,600.00","$6,600.00",$0.00,
112,Auto-Operator at Opening 004 Pet Spa,60-601005.000 - Design Contingency,Material - Material,,Contingency use for 004 Pet Spa Auto-operator,,,ls,-1.0,"$6,600.00","-$6,600.00","-$6,600.00","-$6,600.00",-1.0,"$6,600.00","-$6,600.00",,,"-$6,600.00",$0.00,
111,Auto-Operator at Opening 001 Elevator Lobby,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
111,Auto-Operator at Opening 001 Elevator Lobby,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
111,Auto-Operator at Opening 001 Elevator Lobby,8-84000.000 - Aluminum Entrances and Storefronts,Subcontract - Subcontract,,Add Auto-operator at opening 001 Elevator Lobby,Artic Glass Company,SC-25-117-0840,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$6,600.00","$6,600.00",,"$6,600.00","$6,600.00","-$6,600.00",
110,ASI 012 - Trash Chute Exhaust ,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
110,ASI 012 - Trash Chute Exhaust ,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
110,ASI 012 - Trash Chute Exhaust ,26-260000.000 - Electrical,Subcontract - Subcontract,,Supply power to exhaust fan,"Berd Electric, LLC",SC-25-117-260,ls,0.0,$0.00,$0.00,$715.00,$715.00,1.0,$715.00,$715.00,,$715.00,$715.00,$0.00,
110,ASI 012 - Trash Chute Exhaust ,23-230000.000 - HVAC,Subcontract - Subcontract,,Rework installed / remove duct work for at trash chutes and reinstalling an exhaust fan.,J-Berd Mechanical Contractors,SC-25-117-220,ls,0.0,$0.00,$0.00,"$2,945.00","$2,945.00",1.0,"$2,945.00","$2,945.00",,"$2,945.00","$2,945.00",$0.00,
110,ASI 012 - Trash Chute Exhaust ,60-601005.000 - Design Contingency,Material - Material,,Trash chute exhaust changes per ASI 012,,,,0.0,$0.00,$0.00,"-$3,660.00","-$3,660.00",-1.0,"$3,660.00","-$3,660.00",,,"-$3,660.00",$0.00,
109,Sprinkler Piping at Lower Level,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
109,Sprinkler Piping at Lower Level,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
109,Sprinkler Piping at Lower Level,,,,,,,,,,$0.00,,$0.00,,,$0.00,,,$0.00,$0.00,
108,Ground Break Flashing,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
108,Ground Break Flashing,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
108,Ground Break Flashing,7-74600.000 - Siding,Subcontract - Subcontract,,"Furnish all labor, materials, and equipment required to install ground break flashing","Highmark Exteriors, LLC",SC-25-117-0722,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$18,956.00","$18,956.00",,"$18,956.00","$18,956.00","-$18,956.00",
107,Expansion Joint,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
107,Expansion Joint,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
107,Expansion Joint,7-79500.000 - Expansion Joints,Subcontract - Subcontract,,"6"" expansion joint at building connection from exiting to new construction. ",Carciofini Company,SC-25-117-0795,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$7,695.00","$7,695.00",,"$7,695.00","$7,695.00","-$7,695.00",
106,Replace Damaged Cabinet ,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
106,Replace Damaged Cabinet ,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
106,Replace Damaged Cabinet ,12-123530.000 - Residential Casework,Material - Material,,Cost to replace cabinet damage cabinet at model unit 1119 damaged by HVAC magic pak install.,Alpine Cabinetry,PO-25-117-123,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$1,135.31","$1,135.31",,"$1,135.31","$1,135.31","-$1,135.31",
105,Add Adjustable Shelving at Linen Restroom,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
105,Add Adjustable Shelving at Linen Restroom,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
105,Add Adjustable Shelving at Linen Restroom,12-123530.000 - Residential Casework,Material - Material,,Add one adjustable shelving to the lower linen cabinet at unit bathrooms.,Alpine Cabinetry,PO-25-117-123,ls,0.0,$0.00,$0.00,"$1,027.19","$1,027.19",1.0,"$1,027.19","$1,027.19",,"$1,027.19","$1,027.19",$0.00,
105,Add Adjustable Shelving at Linen Restroom,60-601005.000 - Design Contingency,Material - Material,,Add one adjustable shelving to the lower linen cabinet at unit bathrooms.,,,ls,0.0,$0.00,$0.00,"-$1,027.19","-$1,027.19",-1.0,"$1,027.19","-$1,027.19",,,"-$1,027.19",$0.00,
104,Administrative Update to Milestone Terminology (Ref: PCO 008),60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
104,Administrative Update to Milestone Terminology (Ref: PCO 008),60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
104,Administrative Update to Milestone Terminology (Ref: PCO 008),,,,,,,,0.0,$0.00,$0.00,$0.00,$0.00,0.0,$0.00,$0.00,,,$0.00,$0.00,
103,ASI 011,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
103,ASI 011,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
103,ASI 011,,,,,,,,,,$0.00,,$0.00,,,$0.00,,,$0.00,$0.00,
102,Ph 1 Corridor Removal,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
102,Ph 1 Corridor Removal,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
102,Ph 1 Corridor Removal,2-24100.000 - Demolition,Subcontract - Subcontract,,Deduct for ASI 006 Demo,"Lloyd's Construction Services, Inc.",SC-25-117-022,ls,0.0,$0.00,$0.00,,$0.00,-1.0,"$2,040.00","-$2,040.00",,"-$2,040.00","-$2,040.00","$2,040.00",
102,Ph 1 Corridor Removal,2-24100.000 - Demolition,Subcontract - Subcontract,,Remove flooring at phase 1,Precision Floors,SC-25-117-093,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$1,674.81","$1,674.81",,"$1,674.81","$1,674.81","-$1,674.81",
101,Additonal Building Wrap Materials,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
101,Additonal Building Wrap Materials,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
101,Additonal Building Wrap Materials,8-85413.000 - Windows and Patio Doors,Material - Material,,,JB Construction Company,PO-25-117-725,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$4,566.12","$4,566.12",,"$4,566.12","$4,566.12","-$4,566.12",
100,Winter Conditions,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$217.76,$217.76,$217.76,,,,,,0.0,$217.76,
100,Winter Conditions,60-604000.000 - Fee,Material - Material,,,,,,,,$762.16,$762.16,$762.16,,,,,,0.0,$762.16,
100,Winter Conditions,50-502000.000 - Winter Conditions,Material - Material,,Current natural gas charges from CenterPoint Energy for the Orchard Path project through 02/16/2026.,,,ls,1.0,"$21,775.99","$21,775.99","$21,775.99","$21,775.99",1.0,"$21,775.99","$21,775.99",,,"$21,775.99",$0.00,
099,Dedicated Circuits at Cardio 108,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$8.00,$8.00,$8.00,,,,,,0.0,$8.00,
099,Dedicated Circuits at Cardio 108,60-604000.000 - Fee,Material - Material,,,,,,,,$28.00,$28.00,$28.00,,,,,,0.0,$28.00,
099,Dedicated Circuits at Cardio 108,26-260000.000 - Electrical,Subcontract - Subcontract,,Added dedicated circuits to the tree circuits at the north wall for equipment at Cardio 108.,"Berd Electric, LLC",SC-25-117-260,ls,1.0,$800.00,$800.00,$800.00,$800.00,1.0,$800.00,$800.00,,$800.00,$800.00,$0.00,
098,Project Insulation,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,-$414.76,$0.00,-$414.76,,,,,,0.0,-$414.76,
098,Project Insulation,60-604000.000 - Fee,Material - Material,,,,,,,,"-$1,451.67",$0.00,"-$1,451.67",,,,,,0.0,"-$1,451.67",
098,Project Insulation,7-72100.000 - Thermal Insulation,Subcontract - Subcontract,,Additional purchase of blow-in insulation for project.,Voeller Insulation Inc.,SC-25-117-0721,ls,-1.0,"$41,476.26","-$41,476.26",,"-$41,476.26",-1.0,"$41,476.26","-$41,476.26",,"-$41,476.26","-$41,476.26",$0.00,
097,Project Insulation,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
097,Project Insulation,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
097,Project Insulation,7-72100.000 - Thermal Insulation,Subcontract - Subcontract,,Purchase of insulation,Voeller Insulation Inc.,SC-25-117-0721,ls,0.0,$0.00,$0.00,,$0.00,-1.0,"$41,476.26","-$41,476.26",,"-$41,476.26","-$41,476.26","$41,476.26",
096,Unit 3101 Flooring and Outlet,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$9.10,$9.10,$9.10,,,,,,0.0,$9.10,
096,Unit 3101 Flooring and Outlet,60-604000.000 - Fee,Material - Material,,,,,,,,$31.85,$31.85,$31.85,,,,,,0.0,$31.85,
096,Unit 3101 Flooring and Outlet,9-96500.000 - Resilient Flooring,Subcontract - Subcontract,,Replace carpet in 2nd bedroom with LVT.,Precision Floors,SC-25-117-093,ls,1.0,$825.00,$825.00,$825.00,$825.00,1.0,$825.00,$825.00,,$825.00,$825.00,$0.00,
096,Unit 3101 Flooring and Outlet,26-260000.000 - Electrical,Subcontract - Subcontract,,Add outlet for bidet toilet in primary bedroom. ,"Berd Electric, LLC",SC-25-117-260,ls,1.0,$85.00,$85.00,$85.00,$85.00,1.0,$85.00,$85.00,,$85.00,$85.00,$0.00,
095,Additional Rock for Entrance,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
095,Additional Rock for Entrance,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
095,Additional Rock for Entrance,2-29045.000 - Temp Access Roads,Material - Material,,Additional rock for construction entrance.,"Minnesota Utilities & Excavating, LLC",SC-25-117-310,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$1,046.00","$1,046.00",,"$1,046.00","$1,046.00","-$1,046.00",
094,Long Vent ADA Dryers,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.71,$0.00,$0.71,,,,,,0.0,$0.71,
094,Long Vent ADA Dryers,60-604000.000 - Fee,Material - Material,,,,,,,,$2.50,$0.00,$2.50,,,,,,0.0,$2.50,
094,Long Vent ADA Dryers,11-113100.000 - Appliances,Material - Material,,Supply two long vent ADA dryers in lieu of standard vent dryers. Unit 1113 & 3106.,All Inc.,SC-25-117-113,ls,1.0,$71.37,$71.37,,$71.37,1.0,$71.37,$71.37,,$71.37,$71.37,$0.00,
091,Dedicated Circuit at Cardio 108,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
091,Dedicated Circuit at Cardio 108,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
091,Dedicated Circuit at Cardio 108,,,,,,,,,,$0.00,,$0.00,,,$0.00,,,$0.00,$0.00,
090,Auto-flush Valves ,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
090,Auto-flush Valves ,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
090,Auto-flush Valves ,,,,,,,,,,$0.00,,$0.00,,,$0.00,,,$0.00,$0.00,
089,Additional Insulation,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
089,Additional Insulation,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
089,Additional Insulation,7-72100.000 - Thermal Insulation,Subcontract - Subcontract,,Additional Insulation,Voeller Insulation Inc.,SC-25-117-0721,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$14,890.00","$14,890.00",,"$14,890.00","$14,890.00","-$14,890.00",
088,Additional Mirrors,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
088,Additional Mirrors,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
088,Additional Mirrors,8-88330.000 - Mirrors,Subcontract - Subcontract,,Additional Mirrors,North American Art,SC-25-117-088,ls,0.0,$0.00,$0.00,,$0.00,1.0,$974.68,$974.68,,$974.68,$974.68,-$974.68,
087,Additional Caulking,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
087,Additional Caulking,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
087,Additional Caulking,7-79200.000 - Joint Sealants,Subcontract - Subcontract,,Additional Caulking,Contract Caulking Inc.,SC-25-117-079 ,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$1,005.00","$1,005.00",,"$1,005.00","$1,005.00","-$1,005.00",
086,Additional Plumbing and Tubs,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
086,Additional Plumbing and Tubs,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
086,Additional Plumbing and Tubs,22-220000.000 - Plumbing,Subcontract - Subcontract,,Additional Plumbing and Tubs,J-Berd Mechanical Contractors,SC-25-117-220,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$12,745.00","$12,745.00",,"$12,745.00","$12,745.00","-$12,745.00",
085,Quartz Windowsill and Unit Vanity Tops,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,-$242.59,$0.00,$0.00,,,,,,0.0,$0.00,
085,Quartz Windowsill and Unit Vanity Tops,60-604000.000 - Fee,Material - Material,,,,,,,,-$849.06,$0.00,$0.00,,,,,,0.0,$0.00,
085,Quartz Windowsill and Unit Vanity Tops,12-123640.000 - Residential Countertops,Subcontract - Subcontract,,Substitute originally selected cultured marble with Miami White Quartz for all windowsills & unit vanity tops,Leon's Countertops,SC-25-117-123,ls,-1.0,"$24,258.80","-$24,258.80","-$24,258.80","-$24,258.80",-1.0,"$24,258.80","-$24,258.80",,"-$24,258.80","-$24,258.80",$0.00,
084,Winter Conditions,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$492.97,$492.97,$492.97,,,,,,0.0,$492.97,
084,Winter Conditions,60-604000.000 - Fee,Material - Material,,,,,,,,"$1,725.38","$1,725.38","$1,725.38",,,,,,0.0,"$1,725.38",
084,Winter Conditions,50-502000.000 - Winter Conditions,Material - Material,,Temp heat rental and utilities,,,ls,1.0,"$49,296.67","$49,296.67","$49,296.67","$49,296.67",1.0,"$49,296.67","$49,296.67",,,"$49,296.67",$0.00,
083,ASI 010,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$37.99,$37.99,$37.99,,,,,,0.0,$37.99,
083,ASI 010,60-604000.000 - Fee,Material - Material,,,,,,,,$132.97,$132.97,$132.97,,,,,,0.0,$132.97,
083,ASI 010,8-84000.000 - Aluminum Entrances and Storefronts,Subcontract - Subcontract,,Add holes in mirrors for ballet bar at cardio room,Artic Glass Company,SC-25-117-0840,ls,1.0,$466.00,$466.00,$466.00,$466.00,1.0,$466.00,$466.00,,$466.00,$466.00,$0.00,
083,ASI 010,6-62200.000 - Millwork,Material - Material,,Add ballet bar in Cardio room,Builders Millwork Inc,PO-25-117-081,ls,1.0,$333.00,$333.00,$333.00,$333.00,1.0,$333.00,$333.00,,$333.00,$333.00,$0.00,
083,ASI 010,9-95123.000 - Acoustical Tile Ceilings,Subcontract - Subcontract,,Community room 115 ACP-1 ceiling dimension changes,"Minnesota Acoustics, Inc.",SC-25-117-095,ls,1.0,"$3,000.00","$3,000.00","$3,000.00","$3,000.00",1.0,"$3,000.00","$3,000.00",,"$3,000.00","$3,000.00",$0.00,
082,Contingency: Added Fire Extinguishers Phase 1,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
082,Contingency: Added Fire Extinguishers Phase 1,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
082,Contingency: Added Fire Extinguishers Phase 1,10-104413.000 - Fire Extinguishers and Cabinets,Material - Material,,Add three FEC and extinguishers to phase 1.,"CBG Midwest, LLC dba BMSI",PO-25-117-104,,1.0,"$1,148.00","$1,148.00","$1,148.00","$1,148.00",1.0,"$1,148.00","$1,148.00",,"$1,148.00","$1,148.00",$0.00,
082,Contingency: Added Fire Extinguishers Phase 1,60-601005.000 - Design Contingency,Material - Material,,Contingency Use: Supply and install three FEC and extinguishers to phase 1.,,,,-1.0,"$1,148.00","-$1,148.00","-$1,148.00","-$1,148.00",-1.0,"$1,148.00","-$1,148.00",,,"-$1,148.00",$0.00,
081,Contingency: Unit Lighting Control Changes,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
081,Contingency: Unit Lighting Control Changes,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
081,Contingency: Unit Lighting Control Changes,26-260000.000 - Electrical,Subcontract - Subcontract,,"Unit Lighting Control Changes: B1, C1, C2, F","Berd Electric, LLC",SC-25-117-260,ls,1.0,"$3,975.00","$3,975.00","$3,975.00","$3,975.00",1.0,"$3,975.00","$3,975.00",,"$3,975.00","$3,975.00",$0.00,
